ProteinGroup	KEGGNumber	SecondOrganisms	ThirdOrganisms	GenusNCBI	KEGGGene	KEGGScore
MH0276_GL0157470	K00133	Bacteria	Clostridia	(no genus)	esr:ES1_20680	558.91
MH0299_GL0017634	K02406	Bacteria	Clostridia	Pseudobutyrivibrio	pxv:FXF36_03535	504.212
MH0388_GL0131715		Bacteria	Clostridia	Flavonifractor	fpla:A4U99_14010	218.394
MH0458_GL0182669		Bacteria	Clostridia	Flavonifractor	fpla:A4U99_04330	192.971
O2.UC57-2_GL0059031		Bacteria	Clostridia	Faecalibacterium	fpa:FPR_12440	576.244
V1.CD22-0_GL0140481	K02338	Bacteria	Clostridia	Faecalibacterium	fpra:CG447_08945	646.736
V1.CD3-0-PT_GL0058972	K02111	Bacteria	Other Bacillota	Veillonella	vpr:Vpar_1534	971.844
158802708-stool1_revised_C968191_1_gene1204	K01006	Bacteria	Verrucomicrobiota	Ruficoccus	rufi:K0V07_07575	647.121
158924089-stool1_revised_scaffold12016_1_gene56879	K03070	Bacteria	Bacteroidota	Bacteroides	bth:BT_4362	1981.45
MH0069_GL0012278	K02120	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_3563	341.658
MH0135_GL0099849	K09759	Bacteria	Clostridia	Faecalibacterium	fpra:CG447_00770	818.92
MH0169_GL0003081	K10254	Bacteria	Clostridia	Desulfitobacterium	ddh:Desde_1520	526.168
MH0181_GL0002451	K03046	Bacteria	Bacteroidota	Hoylesella	peo:AS203_00665	2583.13
MH0257_GL0147322		Bacteria	Bacteroidota	Segatella	shoi:KUA50_004970	570.081
585501.HMPREF6123_1051	K01610	Bacteria	Clostridia	Enterocloster	cbol:CGC65_12100	954.896
MH0193_GL0185667		Bacteria	Bacteroidota	Bacteroides	bth:BT_0173	656.366
MH0308_GL0082660	K00656	Bacteria	Clostridia	(no genus)	lbx:lbkm_0192	1302.73
O2.UC32-1_GL0136691	K02358	Bacteria	Actinomycetota	Xiamenia	ebz:J7S26_05630	768.074
T2D-31A_GL0068466	K02355	Bacteria	Clostridia	Claveliimonas	cbil:EUBC25_11230	509.605
V1.CD7-4_GL0090881	K01870	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_01610	1948.33
V1.UC13-3_GL0117811	K02358	Bacteria	Actinomycetota	Gordonibacter	gpa:GPA_21460	438.343
638754422-stool1_revised_scaffold23455_1_gene76497	K18682	Bacteria	Bacteroidota	Muribaculum	pary:A4V02_10140	869.766
665937.HMPREF1011_03065	K01874	Bacteria	Clostridia	Anaerostipes	bprl:CL2_18670	1163.29
HM414CO_combine_revised_scaffold45625_1_gene96724	K01915	Bacteria	Clostridia	Dorea	dlo:K5I24_12265	1231.47
Human_swiss_sp|P13805|TNNT1_HUMAN	K10372	Animals	Mammals	Talpa	tod:119250475	325.479
MH0006_GL0121937	K01951	Archaea	Candidatus Thermoplasmatota	(no genus)	marc:AR505_0706	511.531
MH0116_GL0116313		Bacteria	Clostridia	Anaerobutyricum	ehl:EHLA_1655	438.343
MH0125_GL0083486	K00925	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_0524	600.897
MH0252_GL0125144	K01872	Bacteria	Clostridia	(no genus)	esr:ES1_20960	1105.12
MH0287_GL0121276		Bacteria	Clostridia	Faecalibacterium	fpr:FP2_11380	949.118
MH0372_GL0009587	K03070	Bacteria	Clostridia	Herbinix	hsd:SD1D_2189	1086.63
MH0377_GL0097170	K00962	Bacteria	Clostridia	Petroclostridium	petr:QKW49_24875	481.1
MH0434_GL0054898	K01951	Bacteria	Clostridia	Ruminococcus	ral:Rumal_1611	551.206
NLM032_GL0042211	K03043	Bacteria	Clostridia	Lachnospira	eel:EUBELI_00283	652.514
V1.FI36_GL0094039	K00962	Bacteria	Clostridia	Aristaeella	alac:JYE50_04565	871.307
V1.UC50-1_GL0090363	K01874	Bacteria	Clostridia	Marvinbryantia	mfor:NQ534_07890	1001.89
Human_swiss_sp|P35609|ACTN2_HUMAN	K21073	Animals	Mammals	Pan	ptr:469156	1769.98
MH0193_GL0168892	K02190	Bacteria	Clostridia	Simiaoa	ssun:H9Q77_05380	622.083
Human_swiss_sp|Q8WWA0|ITLN1_HUMAN	K17527	Animals	Mammals	Pan	ptr:457440	655.981
MH0028_GL0087102	K00925	Bacteria	Clostridia	(no genus)	ruk:A4V00_06255	575.474
765701615-stool1_revised_C1367806_1_gene31727	K02992	Bacteria	Clostridia	Thermincola	tjr:TherJR_0292	217.624
MH0381_GL0041614	K01006	Bacteria	Clostridia	Vescimonas	vfa:MM35RIKEN_17100	1533.08
MH0196_GL0115268	K03695	Bacteria	Clostridia	Anaerotruncus	acol:K5I23_14450	1229.16
MH0292_GL0017180	K00973	Bacteria	Actinomycetota	Bifidobacterium	blo:BL0227	584.719
MH0318_GL0197751	K02355	Bacteria	Clostridia	Petroclostridium	petr:QKW49_16735	692.189
V1.FI05_GL0053724	K03046	Bacteria	Clostridia	Subdoligranulum	svj:NQ490_14010	1773.44
428128.EUBSIR_00773	K00266	Bacteria	Clostridia	(no genus)	esr:ES1_02540	891.723
Human_swiss_sp|P12110|CO6A2_HUMAN	K06238	Animals	Mammals	Pan	ptr:474056	1783.46
MH0047_GL0022144	K00790	Bacteria	Bacteroidota	Segatella	pcoi:LK433_03425	711.449
MH0200_GL0110436		Bacteria	Bacteroidota	Segatella	pcoi:LK433_13725	570.852
MH0367_GL0050854	K21574	Bacteria	Bacteroidota	Bacteroides	bth:BT_4581	1368.21
O2.CD1-0-PT_GL0040017	K00262	Bacteria	Clostridia	Blautia	rob:CK5_23270	870.152
O2.UC48-1_GL0231303	K02890	Bacteria	Clostridia	Sellimonas	sint:K5I26_00325	244.973
MH0131_GL0041219	K03076	Bacteria	Clostridia	Flavonifractor	fpla:A4U99_01905	721.85
764588959-stool1_revised_scaffold36883_2_gene35662	K02835	Bacteria	Clostridia	Anaerotignum	cpro:CPRO_28900	519.62
764669880-stool1_revised_C437453_1_gene44917	K00761	Bacteria	Clostridia	Dorea	dlo:K5I24_10470	363.999
Human_swiss_sp|P20339|RAB5A_HUMAN	K07887	Animals	Mammals	Nomascus	nle:100585666	429.869
765701615-stool1_revised_scaffold50983_1_gene8758	K01689	Bacteria	Clostridia	Agathobacter	ere:EUBREC_2823	785.408
MH0274_GL0054087	K00053	Bacteria	Bacteroidota	Dysgonomonas	dys:G7050_07845	617.461
411467.BACCAP_02296	K00266	Bacteria	Clostridia	Intestinimonas	ibu:IB211_03310	707.983
411470.RUMGNA_02682	K02906	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_09890	425.246
764669880-stool2_revised_scaffold12597_1_gene66287	K02406	Bacteria	Clostridia	Simiaoa	ssun:H9Q77_03460	549.28
HM407COA_combine_revised_scaffold7793_1_gene35208	K01875	Bacteria	Clostridia	(no genus)	bprs:CK3_28580	742.265
Human_swiss_sp|A0A0B4J1X5|HV374_HUMAN		Animals	Mammals	Colobus	cang:105525107	226.483
MH0083_GL0030394	K01875	Bacteria	Clostridia	(no genus)	esr:ES1_26560	660.603
MH0091_GL0020742	K02112	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_2993	890.952
MH0092_GL0140375	K01915	Bacteria	Clostridia	(no genus)	esr:ES1_00870	1054.28
MH0318_GL0043246		Bacteria	Cyanobacteriota	(no genus)	mbf:BHV42_06750	212.231
MH0448_GL0017933	K03696	Bacteria	Verrucomicrobiota	Puniceicoccus	puo:RZN69_04015	462.225
MH0453_GL0099867		Bacteria	Clostridia	Blautia	bwx:NQ550_18530	129.413
O2.UC1-0_GL0025713	K02906	Bacteria	Clostridia	Agathobacter	ere:EUBREC_0418	452.595
O2.UC27-0_GL0028867	K01875	Bacteria	Clostridia	Blautia	rob:CK5_10670	755.362
T2D-2A_GL0042169		Bacteria	Bacteroidota	Segatella	shoi:KUA50_014085	436.032
V1.CD7-4_GL0072878	K02876	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_09700	285.419
V1.FI14_GL0179546	K02876	Bacteria	Clostridia	Ruminococcus	ral:Rumal_0055	226.098
V1.UC15-3_GL0110486	K01875	Bacteria	Clostridia	(no genus)	lbx:lbkm_0937	476.863
Human_swiss_sp|P51148|RAB5C_HUMAN	K07889	Animals	Mammals	Pan	ptr:454678	418.698
Human_swiss_sp|P05023|AT1A1_HUMAN	K01539	Animals	Mammals	Nomascus	nle:100596870	2007.26
T2D-135A_GL0016494	K00639	Bacteria	Bacteroidota	Bacteroides	bth:BT_1371	744.191
V1.CD1-0-PN_GL0124215	K01710	Bacteria	Clostridia	Coprococcus	cct:CC1_04010	688.723
NOM002_GL0026844	K03628	Bacteria	Clostridia	Roseburia	rho:RHOM_09595	780.4
MH0274_GL0140243	K00008	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_09070	739.184
457396.CSBG_03084	K01893	Bacteria	Clostridia	Sarcina	sarj:HH195_10195	814.298
MH0092_GL0059282	K03070	Bacteria	Bacteroidota	Xylanibacter	pru:PRU_0865	1883.23
1045856.EcWSU1_02743	K02796	Bacteria	Enterobacteria	Enterobacter	enc:ECL_01485	562.377
158458797-stool1_revised_scaffold32502_1_gene42159	K01915	Bacteria	Bacteroidota	Bacteroides	bth:BT_0785	664.455
158458797-stool1_revised_scaffold34718_2_gene60563	K03296	Bacteria	Bacteroidota	Coprobacter	copr:Cop2CBH44_16360	1613.2
158479027-stool1_revised_scaffold25526_1_gene64342	K01874	Bacteria	Clostridia	Lawsonibacter	lasa:L9O85_01300	825.083
158479027-stool1_revised_scaffold8045_1_gene109422	K09014	Bacteria	Bacteroidota	Duncaniella	dun:FDZ78_04650	786.949
158499257-stool1_revised_C1444234_1_gene215443	K00290	Bacteria	Bacteroidota	Duncaniella	dun:FDZ78_13355	529.25
158499257-stool1_revised_C1450080_1_gene140943	K01915	Bacteria	Bacteroidota	Muribaculum	pary:A4V02_07580	1222.99
158499257-stool2_revised_scaffold12000_1_gene202973	K09011	Bacteria	Bacteroidota	Paraprevotella	pclr:PC1C4_01990	127.102
158802708-stool1_revised_C965053_1_gene16763	K00031	Bacteria	Clostridia	Claveliimonas	cbil:EUBC25_26130	219.164
159207311-stool1_revised_scaffold427_1_gene53827	K02067	Bacteria	Bacteroidota	Bacteroides	bth:BT_2142	543.888
159207311-stool2_revised_scaffold1962_1_gene150337	K00239	Bacteria	Bacteroidota	Alistipes	afd:Alfi_2237	216.083
159490532-stool1_revised_scaffold10207_1_gene75307		Bacteria	Clostridia	Agathobaculum	agat:RWV98_02520	1023.85
159571453-stool1_revised_scaffold12406_1_gene63054		Bacteria	Bacteroidota	Bacteroides	bth:BT_4555	563.148
159632143-stool1_revised_scaffold14390_1_gene87151	K01866	Bacteria	Bacteroidota	Pseudoprevotella	alq:C7Y71_006135	773.081
159753524-stool1_revised_scaffold11278_2_gene41624	K02897	Bacteria	Clostridia	Dorea	dlo:K5I24_07285	261.922
159753524-stool2_revised_C550348_1_gene19236	K01845	Bacteria	Actinomycetota	Coriobacterium	cgo:Corgl_0797	249.595
160178356-stool1_revised_C522038_1_gene42426	K02946	Bacteria	Clostridia	(no genus)	cbaf:JS518_00900	179.874
226186.BT_3312	K01201	Bacteria	Bacteroidota	Bacteroides	bth:BT_3312	1018.45
226186.BT_4337	K12373	Bacteria	Bacteroidota	Bacteroides	bth:BT_4337	1719.9
391904.BLIJ_0971	K00766	Bacteria	Actinomycetota	Bifidobacterium	blo:BL1422	622.854
435842.HMPREF0848_00803	K07335	Bacteria	Bacilli	Floricoccus	fpen:KIW23_05195	383.259
483218.BACPEC_02137	K03218	Bacteria	Clostridia	(no genus)	bpen:NQ488_09925	473.011
484018.BACPLE_02334		Bacteria	Bacteroidota	Phocaeicola	pcop:I6J50_12830	1759.19
500635.MITSMUL_03099	K21636	Bacteria	Actinomycetota	Parolsenella	pcat:Pcatena_08750	798.119
508703490-stool1_revised_scaffold22466_1_gene94327	K01810	Bacteria	Clostridia	Ruminococcus	ral:Rumal_2138	703.745
556261.HMPREF0240_01134		Bacteria	Clostridia	Roseburia	rho:RHOM_10175	964.14
575611.HMPREF0649_00752	K09955	Bacteria	Bacteroidota	Prevotella	pdt:Prede_2697	1284.63
575611.HMPREF0649_01290	K08303	Bacteria	Bacteroidota	Segatella	pcoi:LK433_02305	697.582
638301.HMPREF0444_1482		Bacteria	Bacilli	Granulicatella	gad:K8O88_04420	641.728
667015.Bacsa_0163	K21573	Bacteria	Bacteroidota	Bacteroides	bth:BT_3702	1625.53
709991.Odosp_2868		Bacteria	Bacteroidota	Odoribacter	osp:Odosp_2868	811.601
763577454-stool1_revised_C1011481_1_gene183717	K02988	Bacteria	Clostridia	Dorea	dlo:K5I24_06785	231.106
763678604-stool1_revised_scaffold37389_1_gene184776	K21636	Bacteria	Other Bacillota	(no genus)	erb:A4V01_08500	558.14
763678604-stool2_revised_C1156166_1_gene163714	K01886	Bacteria	Clostridia	Lachnospira	eel:EUBELI_00503	1145.95
763860675-stool1_revised_C1092989_1_gene136767	K00335	Bacteria	Clostridia	Ruminococcus	rum:CK1_12530	172.94
763860675-stool1_revised_scaffold55788_1_gene56140	K03147	Bacteria	Clostridia	Dorea	dlo:K5I24_02865	652.899
763860675-stool2_revised_C959911_1_gene107045		Bacteria	Clostridia	Blautia	blab:EYS05_14695	113.62
764062976-stool1_revised_C1188501_1_gene73864	K01937	Bacteria	Bacteroidota	Bacteroides	bth:BT_0590	350.903
764285508-stool1_revised_C990874_1_gene89130		Bacteria	Clostridia	Mediterraneibacter	rto:RTO_18960	1018.84
764487809-stool2_revised_scaffold53060_2_gene28846		Bacteria	Bacteroidota	Butyricimonas	buy:D8S85_17730	2251.86
764588959-stool1_revised_scaffold29489_1_gene125238	K09458	Bacteria	Bacteroidota	Paraprevotella	pclr:PC1C4_05210	763.451
765094712-stool1_revised_scaffold5351_1_gene15351		Bacteria	Bacteroidota	Bacteroides	bfr:BF1217	390.578
765640925-stool1_revised_scaffold31945_1_gene3427	K18331	Bacteria	Clostridia	Solibaculum	sman:C12CBH8_13130	898.271
BGI-28A_GL0035779	K02770	Bacteria	Clostridia	Anaerostipes	bprl:CL2_30920	571.622
DLF012_GL0042251	K01736	Bacteria	Clostridia	Acutalibacter	amur:ADH66_17295	449.514
DLF013_GL0053478	K00385	Bacteria	Clostridia	Anaerobutyricum	ehl:EHLA_0512	590.497
DLM013_GL0044983		Bacteria	Other Bacillota	Phascolarctobacterium	pfac:PFJ30894_00072	395.586
DLM014_GL0001609	K02190	Bacteria	Other Bacillota	Phascolarctobacterium	pfac:PFJ30894_00513	563.918
DLM014_GL0001646	K04043	Bacteria	Bacteroidota	Paramuribaculum	pii:NF347_00215	303.138
DLM020_GL0023693		Bacteria	Bacteroidota	Bacteroides	boa:Bovatus_01595	541.962
DOF004_GL0058872	K03737	Bacteria	Clostridia	Lachnospira	eel:EUBELI_00741	314.309
DOF012_GL0039582	K01689	Bacteria	Clostridia	Sarcina	sarj:HH195_02815	720.309
DOM005_GL0036047		Bacteria	Bacteroidota	Bacteroides	bth:BT_4555	583.563
DOM012_GL0066649	K01784	Bacteria	Clostridia	Agathobacter	ere:EUBREC_1949	374.015
ED12A_GL0077137	K00133	Bacteria	Clostridia	Anaerotruncus	acol:K5I23_15650	83.1889
ED12A_GL0087188	K01662	Bacteria	Bacteroidota	Segatella	pcoi:LK433_04455	1045.42
HM403CO_revised_scaffold116_1_gene33180	K07775	Bacteria	Clostridia	Hungatella	hhj:NQ487_25050	393.275
HM414CO_combine_revised_scaffold52574_1_gene54100	K02952	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_09660	228.794
HM438CO_revised_scaffold65809_1_gene154548	K01610	Bacteria	Clostridia	Qiania	qdo:H9Q78_02315	1026.16
HM459CO_revised_scaffold59242_1_gene103539	K01798	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_1765	1323.92
HM494TI_revised_scaffold66489_1_gene64150	K02956	Bacteria	Bacteroidota	Parabacteroides	pdi:BDI_2770	168.703
HT14A_GL0085213	K02863	Bacteria	Clostridia	(no genus)	ccel:CCDG5_1489	216.468
HT8A_GL0051954	K02030	Bacteria	Actinomycetota	Collinsella	caer:CSV91_07390	532.332
Human_swiss_sp|A0A075B6H9|LV469_HUMAN		Animals	Mammals	Lemur	lcat:123625663	191.045
Human_swiss_sp|A0A075B6R2|HV404_HUMAN	K06856	Animals	Mammals	Pan	ptr:104002202	226.483
Human_swiss_sp|A0A0C4DH25|KVD20_HUMAN		Animals	Mammals	Hylobates	hmh:116464328	194.126
Human_swiss_sp|O00160|MYO1F_HUMAN	K10356	Animals	Mammals	Pan	ptr:455675	2191
Human_swiss_sp|O00299|CLIC1_HUMAN	K05021	Animals	Mammals	Pan	ptr:462564	487.648
Human_swiss_sp|O14773|TPP1_HUMAN	K01279	Animals	Mammals	Pan	ptr:450999	1136.71
Human_swiss_sp|O15162|PLS1_HUMAN		Animals	Mammals	Pan	ptr:460757	612.068
Human_swiss_sp|O15260|SURF4_HUMAN	K20369	Animals	Mammals	Nomascus	nle:100590359	517.309
Human_swiss_sp|O15393|TMPS2_HUMAN	K09633	Animals	Mammals	Pan	ptr:474007	1009.98
Human_swiss_sp|O15484|CAN5_HUMAN	K08574	Animals	Mammals	Pan	ptr:451438	1337.78
Human_swiss_sp|O15496|PA2GX_HUMAN	K01047	Animals	Mammals	Nomascus	nle:101179281	305.064
Human_swiss_sp|O43149|ZZEF1_HUMAN		Animals	Mammals	Pan	ptr:455045	5774.9
Human_swiss_sp|O43520|AT8B1_HUMAN	K01530	Animals	Mammals	Pan	ptr:455439	2486.83
Human_swiss_sp|O43653|PSCA_HUMAN		Animals	Mammals	Pan	pps:100985789	185.267
Human_swiss_sp|O43745|CHP2_HUMAN	K17611	Animals	Mammals	Nomascus	nle:100592406	388.652
Human_swiss_sp|O43809|CPSF5_HUMAN	K14397	Animals	Mammals	Sorex	sara:101546334	473.396
Human_swiss_sp|O75369|FLNB_HUMAN	K04437	Animals	Mammals	Pan	ptr:460476	5233.69
Human_swiss_sp|O75874|IDHC_HUMAN	K00031	Animals	Mammals	Nomascus	nle:100591675	839.721
Human_swiss_sp|O95471|CLD7_HUMAN	K06087	Animals	Mammals	Pan	ptr:455232	427.557
Human_swiss_sp|P00338|LDHA_HUMAN	K00016	Animals	Mammals	Pan	ptr:451063	655.21
Human_swiss_sp|P00390|GSHR_HUMAN	K00383	Animals	Mammals	Nomascus	nle:100584281	952.584
Human_swiss_sp|P00738|HPT_HUMAN	K16142	Animals	Mammals	Pan	ptr:454233	661.759
Human_swiss_sp|P01011|AACT_HUMAN	K04525	Animals	Mammals	Pan	ptr:453133	800.816
Human_swiss_sp|P01703|LV140_HUMAN		Animals	Mammals	Pan	pps:100984259	238.81
Human_swiss_sp|P02538|K2C6A_HUMAN	K07605	Animals	Mammals	Nomascus	nle:100593236	783.482
Human_swiss_sp|P02585|TNNC2_HUMAN	K12042	Animals	Mammals	Pan	ptr:741787	303.908
Human_swiss_sp|P02748|CO9_HUMAN	K04000	Animals	Mammals	Pan	ptr:100610175	1136.32
Human_swiss_sp|P02774|VTDB_HUMAN	K12258	Animals	Mammals	Pan	ptr:461270	954.896
Human_swiss_sp|P02795|MT2_HUMAN	K14739	Animals	Mammals	Pan	ptr:471221	101.293
Human_swiss_sp|P04216|THY1_HUMAN	K06514	Animals	Mammals	Pan	ptr:451611	308.145
Human_swiss_sp|P04843|RPN1_HUMAN	K12666	Animals	Mammals	Pan	ptr:460673	1151.73
Human_swiss_sp|P05186|PPBT_HUMAN	K01077	Animals	Mammals	Pan	ptr:456600	1011.52
Human_swiss_sp|P05787|K2C8_HUMAN	K07605	Animals	Mammals	Pan	ptr:737628	794.653
Human_swiss_sp|P07099|HYEP_HUMAN	K01253	Animals	Mammals	Pan	ptr:457777	931.398
Human_swiss_sp|P07384|CAN1_HUMAN	K01367	Animals	Mammals	Pan	ptr:451317	1446.41
Human_swiss_sp|P08185|CBG_HUMAN	K04525	Animals	Mammals	Pan	ptr:453131	785.793
Human_swiss_sp|P08246|ELNE_HUMAN	K01327	Animals	Mammals	Pan	pps:100969272	496.893
Human_swiss_sp|P08865|RSSA_HUMAN	K02998	Animals	Mammals	Pan	ptr:747747	586.645
Human_swiss_sp|P10253|LYAG_HUMAN	K12316	Animals	Mammals	Pan	ptr:454940	1924.44
Human_swiss_sp|P11532|DMD_HUMAN	K10366	Animals	Mammals	Callithrix	cjc:100406331	6922.41
Human_swiss_sp|P12544|GRAA_HUMAN	K01352	Animals	Mammals	Pan	ptr:461873	517.694
Human_swiss_sp|P12955|PEPD_HUMAN	K14213	Animals	Mammals	Pan	ptr:455932	999.193
Human_swiss_sp|P13688|CEAM1_HUMAN	K06499	Animals	Mammals	Pan	ptr:456078	1011.91
Human_swiss_sp|P15311|EZRI_HUMAN	K08007	Animals	Mammals	Nomascus	nle:100581958	1117.83
Human_swiss_sp|P15924|DESP_HUMAN	K10381	Animals	Mammals	Nomascus	nle:100588753	5326.14
Human_swiss_sp|P15941|MUC1_HUMAN	K06568	Animals	Mammals	Callithrix	cjc:100398313	1179.47
Human_swiss_sp|P16422|EPCAM_HUMAN	K06737	Animals	Mammals	Pan	ptr:459214	577.785
Human_swiss_sp|P16671|CD36_HUMAN	K06259	Animals	Mammals	Pan	ptr:463949	934.48
Human_swiss_sp|P20160|CAP7_HUMAN	K24665	Animals	Mammals	Pan	ptr:468636	467.233
Human_swiss_sp|P20674|COX5A_HUMAN	K02264	Animals	Mammals	Pan	ptr:453750	300.056
Human_swiss_sp|P24855|DNAS1_HUMAN	K11994	Animals	Mammals	Nomascus	nle:100596660	522.316
Human_swiss_sp|P26006|ITA3_HUMAN	K06482	Animals	Mammals	Pan	ptr:455111	1965.27
Human_swiss_sp|P27216|ANX13_HUMAN	K17099	Animals	Mammals	Pan	ptr:472914	602.053
Human_swiss_sp|P27797|CALR_HUMAN	K08057	Animals	Mammals	Nomascus	nle:100601669	747.273
Human_swiss_sp|P28070|PSB4_HUMAN	K02736	Animals	Mammals	Nomascus	nle:100594201	531.176
Human_swiss_sp|P29992|GNA11_HUMAN	K04635	Animals	Mammals	Pan	ptr:100611153	714.531
Human_swiss_sp|P32119|PRDX2_HUMAN	K03386	Animals	Mammals	Pan	ptr:468740	406.371
Human_swiss_sp|P34096|RNAS4_HUMAN	K16632	Animals	Mammals	Pan	ptr:465205	297.745
Human_swiss_sp|P35555|FBN1_HUMAN	K06825	Animals	Mammals	Pan	ptr:453411	6311.48
Human_swiss_sp|P38405|GNAL_HUMAN	K04633	Animals	Mammals	Mus	mmu:14680	769.615
Human_swiss_sp|P38919|IF4A3_HUMAN	K13025	Animals	Mammals	Lemur	lcat:123620501	797.734
Human_swiss_sp|P40879|S26A3_HUMAN	K14078	Animals	Mammals	Pan	ptr:472483	1335.86
Human_swiss_sp|P40939|ECHA_HUMAN	K07515	Animals	Mammals	Pan	ptr:459079	1463.36
Human_swiss_sp|P45880|VDAC2_HUMAN	K15040	Animals	Mammals	Pan	ptr:738876	596.66
Human_swiss_sp|P47985|UCRI_HUMAN	K00411	Animals	Mammals	Pan	ptr:741344	530.406
Human_swiss_sp|P48595|SPB10_HUMAN	K13963	Animals	Mammals	Pan	ptr:107966356	776.163
Human_swiss_sp|P50395|GDIB_HUMAN	K17255	Animals	Mammals	Nomascus	nle:100579667	876.7
Human_swiss_sp|P53999|TCP4_HUMAN	K25815	Animals	Mammals	Cervus	ccad:122448744	238.81
Human_swiss_sp|P54868|HMCS2_HUMAN	K01641	Animals	Mammals	Pan	ptr:457169	1020.76
Human_swiss_sp|P62241|RS8_HUMAN	K02995	Animals	Mammals	Ailuropoda	aml:100475346	428.713
Human_swiss_sp|P62937|PPIA_HUMAN	K03767	Animals	Mammals	Pan	ptr:463386	345.895
Human_swiss_sp|P68363|TBA1B_HUMAN	K07374	Animals	Birds	Nothoprocta	npd:112954233	882.478
Human_swiss_sp|P80188|NGAL_HUMAN	K21129	Animals	Mammals	Pan	ptr:464764	382.489
Human_swiss_sp|Q00325|MPCP_HUMAN	K15102	Animals	Mammals	Pan	ptr:452152	684.871
Human_swiss_sp|Q01469|FABP5_HUMAN	K08754	Animals	Mammals	Pan	ptr:746909	278.485
Human_swiss_sp|Q02978|M2OM_HUMAN	K15104	Animals	Mammals	Pan	ptr:468167	622.083
Human_swiss_sp|Q07075|AMPE_HUMAN	K11141	Animals	Mammals	Pan	ptr:461437	1932.53
Human_swiss_sp|Q13232|NDK3_HUMAN	K00940	Animals	Mammals	Nomascus	nle:100596874	344.739
Human_swiss_sp|Q5D862|FILA2_HUMAN	K10384	Animals	Mammals	Pan	ptr:100614947	2959.09
Human_swiss_sp|Q6NUM9|RETST_HUMAN	K09516	Animals	Mammals	Pan	ptr:470420	1181.39
Human_swiss_sp|Q6P1J6|PLB1_HUMAN	K14621	Animals	Mammals	Nomascus	nle:100593200	2834.67
Human_swiss_sp|Q6UWM9|UD2A3_HUMAN	K00699	Animals	Mammals	Nomascus	nle:100596311	1061.6
Human_swiss_sp|Q86TD4|SRCA_HUMAN		Animals	Mammals	Nomascus	nle:100599837	929.087
Human_swiss_sp|Q92542|NICA_HUMAN	K06171	Animals	Mammals	Macaca	mcc:719696	1364.75
Human_swiss_sp|Q92544|TM9S4_HUMAN	K17086	Animals	Mammals	Nomascus	nle:100588541	1272.69
Human_swiss_sp|Q92820|GGH_HUMAN	K01307	Animals	Mammals	Pan	ptr:464204	629.787
Human_swiss_sp|Q969X1|LFG3_HUMAN	K24205	Animals	Mammals	Nomascus	nle:100599966	543.888
Human_swiss_sp|Q96DE0|NUD16_HUMAN	K16855	Animals	Mammals	Pan	ptr:107966544	331.643
Human_swiss_sp|Q96HC4|PDLI5_HUMAN	K19867	Animals	Mammals	Nomascus	nle:100597048	1161.36
Human_swiss_sp|Q99828|CIB1_HUMAN	K17259	Animals	Mammals	Nomascus	nle:100595510	367.081
Human_swiss_sp|Q9BYF1|ACE2_HUMAN	K09708	Animals	Mammals	Pan	ptr:465511	1613.97
Human_swiss_sp|Q9BYG5|PAR6B_HUMAN	K06093	Animals	Mammals	Pan	ptr:458334	709.523
Human_swiss_sp|Q9HBB8|CDHR5_HUMAN	K16505	Animals	Mammals	Callithrix	cjc:100410617	1142.49
Human_swiss_sp|Q9HD89|RETN_HUMAN	K13438	Animals	Mammals	Pan	ptr:742100	211.846
Human_swiss_sp|Q9NRQ2|PLS4_HUMAN		Animals	Mammals	Pan	ptr:460755	676.781
Human_swiss_sp|Q9NV96|CC50A_HUMAN	K26935	Animals	Mammals	Pan	ptr:462827	737.258
Human_swiss_sp|Q9Y2Y8|PRG3_HUMAN	K25722	Animals	Mammals	Pan	ptr:466586	468.774
Human_swiss_sp|Q9Y6X5|ENPP4_HUMAN	K18424	Animals	Mammals	Nomascus	nle:100587404	915.22
MAX_A2I7N1	K04525	Animals	Mammals	Bos	bta:617667	753.436
MAX_P00761	K01312	Animals	Mammals	Sus	ssc:100302368	483.026
MAX_P04258	K19720	Animals	Mammals	Physeter	pcad:102977247	1373.22
MAX_Q1RMN8		Animals	Mammals	Bos	bta:112441499	420.239
MH0001_GL0001696	K00266	Bacteria	Bacteroidota	Segatella	pcoi:LK433_08505	1519.6
MH0001_GL0006365	K21574	Bacteria	Bacteroidota	Segatella	pcoi:LK433_03565	1475.69
MH0003_GL0010170	K01956	Bacteria	Bacteroidota	Phocaeicola	bvu:BVU_3998	675.241
MH0005_GL0017606	K21572	Bacteria	Bacteroidota	Hoylesella	peo:AS203_00525	370.933
MH0008_GL0011436	K01299	Bacteria	Clostridia	Faecalibacterium	fpr:FP2_29320	833.943
MH0009_GL0066567	K01754	Bacteria	Clostridia	Coprococcus	coo:CCU_26770	729.554
MH0011_GL0054492	K00048	Bacteria	Clostridia	Anaeromicropila	ahb:bsdtb5_04310	415.616
